,index,genre,title,url,artist,weekly_views,all_views,artist_url
41,2,Dance & EDM,Shots Will Roll - Heads Will Roll (A-Trak Remix) X Shots (bwebs Mashup),https://soundcloud.com/b_webs/shots-will-roll-heads-will-roll-a-trak-remix-x-shots-bwebs-mashup,bwebs,21229.0,124866.0,https://soundcloud.com/b_webs
42,3,Dance & EDM,Everytime We Touch (Dionysus' Sickkunt Bootleg),https://soundcloud.com/dionysusdubz/everytime-we-touch-dionysus-sickkunt-bootleg,DIONYSUS,19275.0,623443.0,https://soundcloud.com/dionysusdubz
43,4,Dance & EDM,Ride It,https://soundcloud.com/dj-regard-1/ride-it,Regard,16443.0,13930958.0,https://soundcloud.com/dj-regard-1
44,5,Dance & EDM,UCLA x Colors (Audien Remix) x Runaway x Never Be Like You (fluke. Mashup),https://soundcloud.com/wearefluke/ucla-x-colors-audien-remix-x-runaway-x-never-be-like-you-fluke-mashup,Fluke.,14401.0,3395780.0,https://soundcloud.com/wearefluke
45,6,Dance & EDM,Breaking Me,https://soundcloud.com/topicmusic/breaking-me,Topic,13070.0,8585838.0,https://soundcloud.com/topicmusic
46,7,Dance & EDM,Vanic X Tove Styrke - Borderline,https://soundcloud.com/djvanic/vanic-x-tove-styrke-borderline,VANIC Official,11714.0,32345431.0,https://soundcloud.com/djvanic
47,8,Dance & EDM,The Chainsmokers - Don't Let Me Down (Illenium Remix),https://soundcloud.com/illeniumofficial/the-chainsmokers-dont-let-me-down-illenium-remix,ILLENIUM,11421.0,126507757.0,https://soundcloud.com/illeniumofficial
48,9,Dance & EDM,Small Titty Mix Vol. 1,https://soundcloud.com/bradparsonsofficial/small-titty-mix-vol-1,Brad Parsons,11339.0,1553507.0,https://soundcloud.com/bradparsonsofficial
49,10,Dance & EDM,Goosebumps,https://soundcloud.com/hvme/goosebumps,HVME,11253.0,1675900.0,https://soundcloud.com/hvme
50,1,Dancehall,Not,https://soundcloud.com/skillibeng/not,Skillibeng,5615.0,237444.0,https://soundcloud.com/skillibeng
51,2,Dancehall,"Dancehall Party Mix 2017 - 2018, Vybz Kartel, Alkaline, Mavado, Aidonia, Popcaan & More",https://soundcloud.com/djholup/official-reggae-best-of-dancehall-bashment-mix-popcaan-demarco-mavado-vybz-kartel-alkaline,DJ Hol Up,4374.0,9705288.0,https://soundcloud.com/djholup
52,3,Dancehall,GYAL YOU A PARTY ANIMAL - CHARLY BLACK,https://soundcloud.com/djkurtriley/gyal-you-a-party-animal-charly,DJ Kurt Riley,2702.0,13044393.0,https://soundcloud.com/djkurtriley
53,4,Dancehall,Popcaan - Love Yuh Bad (Produced by Dre Skull),https://soundcloud.com/mixpak/popcaan-love-yuh-bad,Mixpak,2616.0,8291371.0,https://soundcloud.com/mixpak
54,5,Dancehall,Krazèd Fwaye ft. Oswald,https://soundcloud.com/roodyroodboy/krazed-fwaye-ft-oswald,ROODY ROODBOY,2465.0,1475779.0,https://soundcloud.com/roodyroodboy
55,6,Dancehall,Vybz Kartel - Summer Time (Riddim by Adde Instrumentals),https://soundcloud.com/addeinstrumentals/vybz-kartel-summer-time-summer,Adde Instrumentals,2462.0,8654693.0,https://soundcloud.com/addeinstrumentals
56,7,Dancehall,Vybz Kartel ft. Squash - Beat Dem Bad,https://soundcloud.com/wbt-empire/vybz-kartel-ft-squash-beat-dem-bad,WBT Empire Music,2192.0,1905040.0,https://soundcloud.com/wbt-empire
57,8,Dancehall,Pretty Girl Team,https://soundcloud.com/alkalineofficial/pretty-girl-team,Alkaline,2184.0,807821.0,https://soundcloud.com/alkalineofficial
